lm_sensors 1:3.6.0.r41.g31d1f125-1.1
lmdb 0.9.29-1.1
lua 5.4.4-2.1
lua52 5.2.4-5.1
lua53 5.3.6-1.1
luajit 2.1.0.beta3.r449.gdad04f17-1.1
lv2 1.18.10-1.1
lvm2 2.03.16-2.1
lxappearance 0.6.3-4.1
lxmenu-data 0.1.5-3
lz4 1:1.9.4-1.1
lzo 2.10-3.1
m2r 0.2.1-11
m4 1.4.19-1.1
mailcap 2.1.53-1
make 4.3-3.1
man-db 2.11.0-1.1
marked 4.2.2-1
md4c 0.4.8-1.1
mdadm 4.2-2.1
menu-cache 1.1.0-3.1
mesa 22.2.2-1.1
mesa-demos 8.5.0-2.1
meson 0.64.0-1
metis 5.1.0.p10-2.1
minizip 1:1.2.13-1.1
mjpegtools 2.2.1-1.1
mkinitcpio 32-2
mkinitcpio-busybox 1.35.0-1.1
mobile-broadband-provider-info 20221107-1
mpfr 4.1.0.p13-3.1
mpg123 1.31.1-1.1
mpv 1:0.34.1-5.1
mtdev 1.1.6-2.1
mujs 1.3.1-1.1
mullvad-vpn-bin 2022.5-1
musikcube 0.98.1-1
mypaint-brushes1 1.3.1-1
nano 6.4-1.1
nasm 2.15.05-1.1
ncurses 6.3-3.1
ndctl 74-1.1
neofetch 7.1.0-2
neon 0.32.4-2.1
neovim-nightly-bin 0.7.0+dev+786+g9804a2870-1
nerd-fonts-complete 2.2.2-1
netpbm 10.73.37-2.1
nettle 3.8.1-1.1
networkmanager 1.40.2-1
ninja 1.11.1-1.1
nlohmann-json 3.11.2-1
node-gyp 9.3.0-1
nodejs 19.0.1-1
nodejs-nopt 7.0.0-1
nohang 0.2.0-1
nordic-bluish-accent-standard-buttons-theme 2.2.0-1
nordic-theme-git 2.2.0.r27.g4f5c9fa-1
noto-fonts 20220810-1
noto-fonts-emoji 20220920-1
noto-fonts-extra 20220810-1
npm 8.19.2-1
npth 1.6-3.1
nspr 4.35-1.1
nss 3.84-1.1
ntfsprogs-ntfs3 2022.5.17-6
ntp 4.2.8.p15-2.2
numactl 2.0.16-1.1
nwg-bar-bin 0.1.0-1
nwg-look-bin 0.1.4-1
ocaml 4.14.0-1.1
ocaml-bigarray-compat 1.0.0-3.1
ocaml-compiler-libs 4.14.0-1.1
ocaml-ctypes 0.20.1-1
ocaml-findlib 1.9.6-1.1
ocaml-integers 0.7.0-1.1
ocl-icd 2.3.1-1.1
oniguruma 6.9.8-1.1
openal 1.22.2-1.1
opencl-headers 2:2022.05.18-1
opencore-amr 0.1.6-1.1
openexr 3.1.5-1.1
openjpeg 1.5.2-3
openjpeg2 2.5.0-1.1
openmpi 4.1.4-4.1
openpmix 4.2.2-1.1
openssh 9.1p1-3.1
openssl 3.0.7-2.1
optipng 0.7.7-2.1
opus 1.3.1-3.1
opusfile 0.12-3.1
orc 0.4.33-1.1
otf-font-awesome 6.2.0-1
